Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
10001	1	100	34	500	0.105368	0.100297	0.0831823	0.0171151	0.00507103	0.899327	0.0231857	1.09765	0.0270524
10002	1	100	32	500	0.107867	0.100158	0.0825627	0.0175955	0.00770878	0.898258	0.024701	1.09727	0.030717
10003	1	100	33	500	0.110765	0.101789	0.0827518	0.0190372	0.0089758	0.899024	0.0235943	1.09762	0.0275207
10004	1	100	33	500	0.106195	0.101185	0.0826186	0.018566	0.00501073	0.898719	0.0233672	1.09815	0.027938
10005	1	100	34	500	0.106474	0.101472	0.0832851	0.0181868	0.00500208	0.898541	0.0239723	1.09878	0.0282226
10006	1	100	31	500	0.11055	0.102631	0.0830713	0.01956	0.00791852	0.897662	0.0255139	1.09924	0.0307034
10007	1	100	40	500	0.109682	0.101885	0.0819943	0.0198904	0.00779751	0.898912	0.0243783	1.09839	0.0289248
10008	1	100	36	500	0.105937	0.100256	0.0812214	0.0190342	0.00568181	0.89974	0.0251745	1.09683	0.0292338
10009	1	100	41	500	0.113429	0.102811	0.0815011	0.0213102	0.0106174	0.898353	0.0267631	1.09782	0.0312048
10010	1	100	45	500	0.111063	0.10237	0.0817764	0.0205932	0.0086931	0.898179	0.0275902	1.09773	0.0324801
10011	1	100	42	500	0.113506	0.102065	0.0804465	0.0216181	0.0114414	0.898983	0.0278444	1.09663	0.0309894
10012	1	100	37	500	0.108295	0.102867	0.0799124	0.022955	0.00542757	0.896386	0.0346932	1.09828	0.0385334
10013	1	100	40	500	0.11526	0.104936	0.0802418	0.0246939	0.0103244	0.89625	0.0284893	1.09999	0.0322923
10014	1	100	34	500	0.113569	0.10486	0.0815662	0.0232933	0.00870949	0.895855	0.0260076	1.10094	0.0315216
10015	1	100	33	500	0.113818	0.105445	0.0813987	0.0240465	0.00837275	0.895316	0.0258074	1.10164	0.0316866
