Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	54	500	0.143083	0.105406	0.0393124	0.0660936	0.0376772	0.897738	0.0599457	1.06514	0.0488142	3.86194e-05
10002	1	100	45	500	0.148007	0.102489	0.0380742	0.0644144	0.0455184	0.907963	0.0426948	1.06513	0.0382442	3.89135e-05
10003	1	100	37	500	0.145975	0.101093	0.0366803	0.0644132	0.0448816	0.907334	0.0504434	1.06349	0.0496814	3.8621e-05
10004	1	100	31	500	0.120872	0.0829438	0.0299362	0.0530076	0.0379286	0.922312	0.0459806	1.05327	0.0416555	3.71425e-05
10005	1	100	29	500	0.126009	0.0855774	0.0306704	0.054907	0.0404316	0.91833	0.0515696	1.04988	0.0429022	3.61047e-05
10006	1	100	23	500	0.145643	0.0988319	0.0381513	0.0606806	0.0468113	0.911605	0.0429841	1.05464	0.0411237	3.65255e-05
10007	1	100	23	500	0.141591	0.0922446	0.036204	0.0560406	0.0493463	0.917542	0.0508863	1.0484	0.0378447	3.74202e-05
10008	1	100	23	500	0.131479	0.0918473	0.0376548	0.0541926	0.0396317	0.914247	0.05872	1.04606	0.0433557	3.79669e-05
10009	1	100	20	500	0.136608	0.095558	0.0422528	0.0533052	0.0410503	0.913854	0.0569588	1.04468	0.0384416	3.74426e-05
10010	1	100	20	500	0.153615	0.100798	0.0466453	0.0541527	0.052817	0.908823	0.0593374	1.0371	0.0374817	3.81333e-05
10011	1	100	20	500	0.148197	0.09548	0.040161	0.055319	0.0527169	0.912379	0.0623033	1.03632	0.0483752	3.72787e-05
10012	1	100	18	500	0.164706	0.099555	0.0431887	0.0563663	0.0651505	0.909571	0.0575073	1.03055	0.0425595	3.67214e-05
10013	1	100	21	500	0.146685	0.0928078	0.0369433	0.0558645	0.0538776	0.918028	0.0536562	1.04291	0.041732	3.72381e-05
10014	1	100	22	500	0.167102	0.105779	0.0428685	0.0629107	0.0613229	0.907487	0.0537066	1.04548	0.0448026	3.76401e-05
10015	1	100	23	500	0.130767	0.0828712	0.0308787	0.0519925	0.047896	0.922007	0.0475073	1.03976	0.0389092	3.56742e-05
10016	1	100	23	500	0.125247	0.0877812	0.0328421	0.0549392	0.0374657	0.912728	0.0543953	1.0433	0.0486086	3.69261e-05
10017	1	100	21	500	0.124803	0.0802655	0.0305982	0.0496674	0.0445379	0.92517	0.0581461	1.03872	0.0394123	3.73805e-05
10018	1	100	21	500	0.143101	0.0919211	0.0366887	0.0552324	0.0511796	0.916499	0.0556202	1.03993	0.0402841	3.75438e-05
10019	1	100	21	500	0.132317	0.0864749	0.0346548	0.0518201	0.0458418	0.922996	0.0431447	1.04444	0.0369489	3.79586e-05
10020	1	100	20	500	0.130246	0.0808778	0.0336654	0.0472124	0.0493679	0.924716	0.0514932	1.03304	0.0386007	3.64141e-05
10021	1	100	14	500	0.107181	0.0715581	0.03181	0.0397481	0.0356225	0.934512	0.0380744	1.03541	0.0346325	3.54412e-05
10022	1	100	14	500	0.0978939	0.0662813	0.0301733	0.0361079	0.0316126	0.94157	0.0309402	1.03482	0.0270294	3.46651e-05
10023	1	100	13	500	0.0963974	0.0654138	0.0305278	0.034886	0.0309836	0.941145	0.0398443	1.03082	0.0240517	3.52787e-05
10024	1	100	15	500	0.095623	0.0642824	0.0296978	0.0345846	0.0313406	0.943274	0.0364973	1.0326	0.0233516	3.53949e-05
10025	1	100	15	500	0.0872339	0.0589806	0.0274513	0.0315293	0.0282532	0.947964	0.0318719	1.03305	0.0228137	3.50825e-05
10026	1	100	17	500	0.0943397	0.0651905	0.0297247	0.0354658	0.0291492	0.940279	0.0413122	1.03538	0.0271501	3.74559e-05
10027	1	100	15	500	0.121417	0.0771385	0.0349873	0.0421512	0.0442785	0.932386	0.0363432	1.0349	0.03303	3.78129e-05
10028	1	100	17	500	0.142844	0.0817754	0.0356169	0.0461584	0.0610683	0.929069	0.0390714	1.03014	0.0393012	3.78522e-05
10029	1	100	15	500	0.162943	0.0911706	0.0418576	0.049313	0.0717723	0.919017	0.0564051	1.01797	0.0447546	3.80893e-05
10030	1	100	15	500	0.187097	0.0957682	0.0450048	0.0507634	0.0913286	0.91985	0.0504349	1.00939	0.0489261	3.66571e-05
10031	1	100	16	500	0.195571	0.107213	0.0524977	0.0547149	0.088358	0.88927	0.123089	0.991759	0.125912	3.88627e-05
10032	1	100	17	500	0.188268	0.102388	0.0478642	0.0545236	0.08588	0.91033	0.0574626	1.01676	0.0474708	3.96446e-05
10033	1	100	17	500	0.195496	0.103044	0.0478333	0.0552104	0.0924527	0.91087	0.0631273	1.01539	0.0427433	3.91922e-05
10034	1	100	14	500	0.248126	0.120909	0.0578068	0.0631022	0.127217	0.89069	0.0980817	0.994931	0.104912	3.91861e-05
10035	1	100	17	500	0.237333	0.116703	0.0559153	0.0607877	0.12063	0.902952	0.0575742	1.00616	0.0461438	3.92512e-05
10036	1	100	15	500	0.23006	0.112017	0.0537477	0.0582698	0.118042	0.899415	0.0849239	0.998685	0.0890777	3.88361e-05
10037	1	100	17	500	0.227862	0.111241	0.0530614	0.0581792	0.116622	0.907881	0.0554023	1.00801	0.0475424	3.85684e-05
10038	1	100	16	500	0.177552	0.0937294	0.0449638	0.0487656	0.0838231	0.917565	0.0568884	1.0171	0.0437868	3.75832e-05
10039	1	100	12	500	0.157018	0.0859012	0.0401928	0.0457084	0.0711167	0.923727	0.0557576	1.02049	0.0381936	3.71949e-05
10040	1	100	11	500	0.149009	0.0867565	0.0426205	0.044136	0.062252	0.924173	0.0537777	1.02791	0.0434525	3.7278e-05
10041	1	100	13	500	0.152385	0.0869715	0.0416752	0.0452963	0.0654138	0.924981	0.0503838	1.03114	0.0373823	3.72958e-05
10042	1	100	13	500	0.1633	0.0902356	0.0424567	0.047779	0.0730647	0.922322	0.0504038	1.03236	0.0412187	3.81419e-05
10043	1	100	13	500	0.198396	0.10302	0.0493232	0.0536965	0.0953763	0.916935	0.0468939	1.02648	0.0452596	3.741e-05
10044	1	100	10	500	0.218757	0.108858	0.0519772	0.0568811	0.109899	0.910284	0.0539078	1.01355	0.0518761	3.76796e-05
10045	1	100	13	500	0.201898	0.0993774	0.0462796	0.0530979	0.102521	0.91345	0.0923	1.00691	0.092077	3.48198e-05
10046	1	100	13	500	0.215013	0.103214	0.0487697	0.0544443	0.111798	0.891899	0.160249	0.981743	0.178488	3.30253e-05
10047	1	100	12	500	0.173702	0.08467	0.0375937	0.0470763	0.0890315	0.920343	0.0970814	1.00476	0.0999804	3.23284e-05
10048	1	100	10	500	0.172525	0.0769202	0.0370421	0.0398782	0.0956051	0.925151	0.121019	0.991236	0.1278	2.62919e-05
10049	1	100	12	500	0.131228	0.0569889	0.0299892	0.0269997	0.0742393	0.951718	0.0358007	1.00667	0.0354692	2.07056e-05
10050	1	100	10	500	0.161498	0.0705939	0.0376726	0.0329213	0.0909038	0.94409	0.0378167	1.00296	0.0428369	2.07825e-05
10051	1	100	13	500	0.178848	0.0793352	0.0405939	0.0387413	0.0995131	0.91798	0.142093	0.981334	0.152053	2.51477e-05
10052	1	100	13	500	0.181739	0.0823282	0.0386619	0.0436663	0.0994112	0.920002	0.119876	0.992777	0.130519	2.69326e-05
10053	1	100	12	500	0.206139	0.0927323	0.0464393	0.046293	0.113406	0.91648	0.120145	0.987879	0.129558	2.66276e-05
10054	1	100	11	500	0.208359	0.0934306	0.0490866	0.0443439	0.114928	0.910018	0.145625	0.976618	0.155913	2.54525e-05
10055	1	100	12	500	0.132147	0.058743	0.0307551	0.0279879	0.073404	0.930823	0.138611	0.988653	0.146818	2.2128e-05
10056	1	100	12	500	0.117512	0.0528423	0.0282204	0.0246219	0.0646693	0.945616	0.0917318	1.0027	0.0979238	2.16048e-05
10057	1	100	9	500	0.105237	0.0490343	0.0258147	0.0232196	0.0562024	0.949118	0.0853751	1.00739	0.0894237	2.09206e-05
10058	1	100	13	500	0.0704491	0.0360319	0.0236425	0.0123894	0.0344172	0.965771	0.0271859	1.0164	0.0278265	1.43425e-05
10059	1	100	14	500	0.0569346	0.0313954	0.0235693	0.00782605	0.0255393	0.969564	0.0207825	1.01689	0.0212387	1.65029e-05
10060	1	100	11	500	0.0468381	0.011465	0.00262171	0.00884328	0.0353731	0.990076	0.0237384	0.990172	0.0237787	2.03775e-05
