Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5053	1	100	24	500	NA	0.262858	0.208036	0.118472	0.0895634	0.0548219	0.81365	0.0539014	1.15802	0.0708822
5054	1	100	24	500	NA	0.259442	0.207848	0.120143	0.0877048	0.0515937	0.812382	0.0593287	1.16117	0.0823138
5055	1	100	23	500	NA	0.250449	0.206636	0.116316	0.0903196	0.0438133	0.808341	0.0515345	1.17394	0.0742724
5056	1	100	20	500	NA	0.257479	0.209422	0.1252	0.0842218	0.0480569	0.812199	0.051557	1.17444	0.066495
5057	1	100	20	500	NA	0.247717	0.200595	0.107275	0.0933198	0.0471224	0.819552	0.0606058	1.16697	0.0785143
5058	1	100	19	500	NA	0.254687	0.199243	0.103329	0.0959143	0.0554442	0.823722	0.0505081	1.15428	0.0742001
5059	1	100	24	500	NA	0.265074	0.203202	0.102586	0.100616	0.0618716	0.821315	0.0523288	1.13729	0.0903689
5060	1	100	22	500	NA	0.262118	0.197005	0.100623	0.0963823	0.0651122	0.828505	0.0435539	1.14032	0.0737789
5061	1	100	28	500	NA	0.255781	0.195557	0.0973671	0.0981904	0.0602232	0.828146	0.0642464	1.14518	0.0846578
5062	1	100	24	500	NA	0.233908	0.186464	0.0884111	0.0980529	0.0474442	0.829891	0.0514888	1.14662	0.0877782
5063	1	100	22	500	NA	0.225747	0.174054	0.0811314	0.0929229	0.0516924	0.850973	0.0603014	1.12435	0.0835822
5064	1	100	20	500	NA	0.218818	0.169217	0.0807944	0.0884227	0.0496011	0.849438	0.0477411	1.11819	0.0786631
5065	1	100	20	500	NA	0.24503	0.191702	0.100208	0.091494	0.0533276	0.830264	0.0533832	1.14427	0.083041
5066	1	100	20	500	NA	0.245477	0.202558	0.108708	0.0938496	0.0429189	0.819777	0.0500629	1.16909	0.0695602
5067	1	100	19	500	NA	0.236525	0.197367	0.106745	0.0906225	0.0391582	0.822595	0.0505865	1.1668	0.0753186
5068	1	100	16	500	NA	0.241012	0.203669	0.112755	0.0909139	0.0373438	0.817637	0.0494137	1.17269	0.0681517
5069	1	100	20	500	NA	0.243635	0.204865	0.114891	0.0899747	0.0387698	0.814219	0.0506608	1.16927	0.0944833
5070	1	100	20	500	NA	0.244444	0.196156	0.100512	0.0956438	0.048288	0.830251	0.0458461	1.15068	0.0646843
5071	1	100	21	500	NA	0.239739	0.190144	0.0968275	0.0933165	0.0495953	0.830249	0.0469794	1.13456	0.0985312
5072	1	100	18	500	NA	0.253391	0.198518	0.0997062	0.0988116	0.0548728	0.826438	0.0447652	1.11356	0.111787
5073	1	100	20	500	NA	0.255734	0.201788	0.100831	0.100957	0.053946	0.824638	0.0526039	1.13053	0.0963664
5074	1	100	19	500	NA	0.263682	0.216788	0.112405	0.104383	0.0468943	0.812705	0.0470144	1.16664	0.0835772
5075	1	100	21	500	NA	0.255727	0.211098	0.110392	0.100706	0.0446289	0.814118	0.0548571	1.16705	0.0971587
5076	1	100	24	500	NA	0.268101	0.215928	0.110204	0.105724	0.0521729	0.813246	0.0472922	1.16516	0.0712454
5077	1	100	21	500	NA	0.263471	0.218864	0.117864	0.101	0.0446067	0.802387	0.0471768	1.17571	0.0998591
5078	1	100	22	500	NA	0.260924	0.208461	0.103958	0.104503	0.0524626	0.822681	0.0419282	1.14836	0.0778669
5079	1	100	24	500	NA	0.254033	0.204996	0.10388	0.101116	0.0490368	0.819979	0.0511555	1.14495	0.0898338
5080	1	100	22	500	NA	0.243372	0.197061	0.101105	0.0959553	0.0463116	0.828797	0.0469626	1.14113	0.0895823
5081	1	100	27	500	NA	0.240821	0.193569	0.0984992	0.0950696	0.0472527	0.833079	0.0421394	1.14246	0.0729537
5082	1	100	26	500	NA	0.230665	0.185939	0.0958109	0.0901281	0.0447259	0.837136	0.0485142	1.13343	0.0889403
5083	1	100	19	500	NA	0.22825	0.185624	0.0961178	0.0895064	0.0426262	0.837083	0.0477663	1.13603	0.0802953
5084	1	100	21	500	NA	0.229136	0.184227	0.0954317	0.0887958	0.0449082	0.841553	0.0499323	1.13033	0.0872983
5085	1	100	18	500	NA	0.23862	0.197736	0.104265	0.0934715	0.0408839	0.824005	0.049987	1.15416	0.0812446
5086	1	100	17	500	NA	0.243685	0.202228	0.104604	0.0976246	0.0414568	0.823647	0.0484948	1.15987	0.0734494
5087	1	100	18	500	NA	0.249128	0.208325	0.111034	0.0972914	0.040803	0.817238	0.0462166	1.16679	0.0734807
5088	1	100	23	500	NA	0.249244	0.210571	0.116141	0.0944303	0.038673	0.812992	0.0521811	1.18141	0.081784
5089	1	100	20	500	NA	0.242401	0.201709	0.107665	0.0940449	0.0406913	0.820491	0.0523423	1.16514	0.0809958
5090	1	100	22	500	NA	0.239048	0.199076	0.107965	0.0911109	0.0399727	0.824361	0.0489419	1.15826	0.0626618
5091	1	100	23	500	NA	0.24706	0.207382	0.113365	0.0940168	0.0396779	0.813421	0.0487669	1.17264	0.0861373
5092	1	100	20	500	NA	0.229629	0.187696	0.102262	0.085434	0.0419329	0.835151	0.0506643	1.14573	0.0716166
5093	1	100	20	500	NA	0.236763	0.197102	0.114476	0.0826261	0.0396612	0.821544	0.0448023	1.15222	0.0824738
5094	1	100	19	500	NA	0.236731	0.192567	0.103281	0.089286	0.0441633	0.830991	0.0426215	1.13601	0.0802765
5095	1	100	22	500	NA	0.236717	0.196021	0.108451	0.0875702	0.0406954	0.826074	0.0509259	1.15341	0.0732634
5096	1	100	21	500	NA	0.238755	0.196363	0.10352	0.0928432	0.042392	0.825741	0.0464979	1.14873	0.0720728
5097	1	100	23	500	NA	0.236191	0.193906	0.102375	0.0915307	0.042285	0.827851	0.0489817	1.14781	0.0830777
5098	1	100	23	500	NA	0.239209	0.193592	0.0957061	0.0978855	0.0456177	0.830812	0.0494432	1.12997	0.0930178
5099	1	100	22	500	NA	0.23707	0.191905	0.0955997	0.0963058	0.0451647	0.829117	0.0460309	1.12884	0.104089
5100	1	100	23	500	NA	0.227267	0.181799	0.0920548	0.0897439	0.0454686	0.847385	0.0407966	1.11347	0.0755078
5101	1	100	24	500	NA	0.230476	0.185438	0.090956	0.0944819	0.0450379	0.836556	0.0511879	1.1234	0.0971038
