Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	39	500	0.0542997	0.0427798	0.0112923	0.0314875	0.0115199	0.955875	0.0281694	1.03192	0.0318134	2.50704e-05
10002	1	100	34	500	0.073693	0.0483077	0.0108839	0.0374239	0.0253853	0.952261	0.0284541	1.02836	0.0371952	2.46554e-05
10003	1	100	30	500	0.070767	0.0481132	0.0116214	0.0364918	0.0226538	0.95152	0.032153	1.03201	0.0415438	2.45567e-05
10004	1	100	29	500	0.0672637	0.0438278	0.0104928	0.033335	0.0234359	0.956885	0.026675	1.02472	0.0361208	2.52673e-05
10005	1	100	22	500	0.0634177	0.0398005	0.0101846	0.0296159	0.0236171	0.961551	0.0242723	1.01675	0.0311942	2.45101e-05
10006	1	100	20	500	0.0597877	0.0360353	0.0103764	0.0256589	0.0237524	0.965748	0.0247978	1.01293	0.0317505	2.47601e-05
10007	1	100	20	500	0.0525154	0.0354592	0.0106586	0.0248006	0.0170562	0.963219	0.0323841	1.01643	0.0409853	2.52989e-05
10008	1	100	19	500	0.0527365	0.0365879	0.0120026	0.0245853	0.0161486	0.963608	0.0220092	1.01782	0.0347102	2.5397e-05
10009	1	100	19	500	0.0436927	0.0359492	0.012323	0.0236262	0.00774352	0.965166	0.0204529	1.02196	0.0300896	2.51395e-05
10010	1	100	19	500	0.0471357	0.0385532	0.0140493	0.0245039	0.00858246	0.961849	0.0164024	1.02223	0.0305913	2.55348e-05
10011	1	100	14	500	0.0426711	0.0350762	0.0137793	0.0212969	0.00759499	0.96689	0.0199376	1.02142	0.0280993	2.57871e-05
10012	1	100	18	500	0.0446985	0.035588	0.013805	0.021783	0.0091105	0.96601	0.0193453	1.02148	0.0283706	2.5458e-05
10013	1	100	23	500	0.0464768	0.0377351	0.0136471	0.024088	0.00874172	0.962207	0.0221555	1.02276	0.0332812	2.52622e-05
10014	1	100	19	500	0.0509788	0.0398972	0.0132274	0.0266698	0.0110816	0.96052	0.0241002	1.02343	0.0343598	2.55922e-05
10015	1	100	17	500	0.0555178	0.0424095	0.0145872	0.0278224	0.0131082	0.958643	0.0227146	1.0265	0.0309656	2.59404e-05
10016	1	100	19	500	0.0592746	0.0450639	0.0154722	0.0295917	0.0142108	0.956165	0.0197917	1.02824	0.0291753	2.58105e-05
10017	1	100	14	500	0.0560371	0.0460128	0.0159683	0.0300445	0.0100243	0.954613	0.0208407	1.03382	0.0280101	2.56696e-05
10018	1	100	17	500	0.0586486	0.0481201	0.0174073	0.0307128	0.0105285	0.952999	0.0222526	1.03521	0.0294729	2.53864e-05
10019	1	100	19	500	0.0554757	0.0450112	0.0162403	0.0287708	0.0104645	0.956626	0.0210211	1.03041	0.0292983	2.59096e-05
10020	1	100	17	500	0.057213	0.0451073	0.0172451	0.0278623	0.0121057	0.955452	0.0200479	1.02911	0.0330188	2.62397e-05
10021	1	100	17	500	0.0612975	0.048335	0.018952	0.029383	0.0129625	0.953085	0.0196142	1.02714	0.0341562	2.65657e-05
10022	1	100	21	500	0.0641862	0.0493847	0.0202486	0.0291361	0.0148015	0.951275	0.0186624	1.02554	0.0389108	2.65234e-05
10023	1	100	21	500	0.0604696	0.0481685	0.0200457	0.0281228	0.0123012	0.952887	0.017618	1.02434	0.0379884	2.65546e-05
10024	1	100	16	500	0.0593036	0.0490055	0.0197765	0.029229	0.0102981	0.952405	0.0160341	1.02991	0.0343867	2.67095e-05
10025	1	100	18	500	0.0633219	0.0514778	0.0211742	0.0303035	0.0118441	0.948242	0.0161373	1.03266	0.0374502	2.72532e-05
