Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	46	500	0.237051	0.209967	0.162466	0.047501	0.0270834	0.801984	0.0385507	1.19439	0.052947	3.01165e-05
10002	1	100	31	500	0.229503	0.207998	0.156468	0.0515295	0.0215055	0.805263	0.032038	1.20068	0.0457691	3.2598e-05
10003	1	100	31	500	0.223713	0.202601	0.156186	0.0464151	0.0211121	0.808174	0.0307249	1.19207	0.0438968	3.24035e-05
10004	1	100	30	500	0.224359	0.203302	0.159752	0.04355	0.0210568	0.808698	0.0335145	1.19425	0.045573	3.33321e-05
10005	1	100	27	500	0.212543	0.196118	0.154408	0.04171	0.0164253	0.814525	0.0312171	1.18968	0.0410167	3.31087e-05
10006	1	100	25	500	0.221614	0.198389	0.150483	0.0479055	0.0232251	0.813073	0.0293089	1.18877	0.0414271	3.49946e-05
10007	1	100	22	500	0.218971	0.198742	0.151558	0.0471842	0.0202292	0.81279	0.028953	1.19052	0.0405544	3.48911e-05
10008	1	100	22	500	0.221063	0.195777	0.154514	0.0412633	0.0252864	0.814028	0.0312475	1.18192	0.0457632	3.33413e-05
10009	1	100	20	500	0.233871	0.199423	0.152723	0.0466997	0.034448	0.813386	0.0318045	1.17797	0.0488497	3.35256e-05
10010	1	100	22	500	0.227797	0.19581	0.139538	0.0562722	0.0319868	0.817184	0.0240331	1.17895	0.0319989	3.75077e-05
10011	1	100	22	500	0.240122	0.200836	0.143703	0.0571325	0.0392856	0.812596	0.0275876	1.17546	0.0455302	3.5807e-05
10012	1	100	21	500	0.241057	0.196681	0.140901	0.05578	0.0443752	0.817521	0.0286779	1.16422	0.0401449	3.68274e-05
10013	1	100	19	500	0.237059	0.195	0.140614	0.0543859	0.042059	0.817752	0.0332113	1.16463	0.0500619	3.71062e-05
10014	1	100	20	500	0.238317	0.198323	0.143479	0.0548439	0.0399934	0.814191	0.0306477	1.1687	0.0486409	3.62467e-05
10015	1	100	21	500	0.239106	0.201905	0.143448	0.0584562	0.0372012	0.810917	0.0347588	1.17799	0.0541766	3.70075e-05
10016	1	100	19	500	0.234782	0.199774	0.134405	0.0653689	0.0350078	0.813088	0.0298875	1.17842	0.0463597	3.8856e-05
10017	1	100	18	500	0.231502	0.201512	0.133465	0.0680466	0.0299901	0.812405	0.0283833	1.18667	0.0389242	3.83209e-05
10018	1	100	23	500	0.230428	0.201056	0.134361	0.0666947	0.0293718	0.812423	0.0290801	1.18654	0.0375694	3.71486e-05
10019	1	100	20	500	0.227201	0.198932	0.132373	0.0665588	0.0282689	0.811069	0.0375304	1.18083	0.0561071	3.731e-05
10020	1	100	22	500	0.217025	0.192386	0.131581	0.0608056	0.0246384	0.818969	0.0293285	1.1813	0.0386165	3.69981e-05
10021	1	100	22	500	0.229174	0.199901	0.132766	0.0671357	0.0292724	0.81348	0.0280366	1.1856	0.0404847	3.73717e-05
10022	1	100	24	500	0.224999	0.196302	0.13269	0.0636122	0.0286968	0.815312	0.0354401	1.18061	0.0506882	3.68007e-05
10023	1	100	22	500	0.217836	0.19217	0.126774	0.0653953	0.0256666	0.819737	0.0267637	1.18083	0.0361433	3.64186e-05
10024	1	100	22	500	0.208873	0.186764	0.12475	0.0620138	0.0221094	0.823725	0.0303576	1.1775	0.0396503	3.79081e-05
10025	1	100	21	500	0.202699	0.182899	0.117196	0.0657028	0.0197997	0.826539	0.0263636	1.17524	0.0348797	3.89894e-05
10026	1	100	25	500	0.221221	0.190893	0.121408	0.069485	0.0303285	0.820771	0.0302199	1.17725	0.0394787	3.95795e-05
10027	1	100	22	500	0.216831	0.188574	0.123348	0.0652257	0.0282565	0.822455	0.0293247	1.17574	0.0346186	3.8171e-05
10028	1	100	18	500	0.210332	0.185337	0.120292	0.0650447	0.0249951	0.82521	0.0314288	1.17385	0.0395442	3.74885e-05
10029	1	100	20	500	0.208092	0.183951	0.128788	0.0551636	0.0241412	0.825584	0.0284352	1.172	0.0406001	3.66557e-05
10030	1	100	15	500	0.202862	0.183739	0.128268	0.0554713	0.0191224	0.826176	0.0273371	1.17589	0.0373264	3.65249e-05
10031	1	100	18	500	0.200365	0.181205	0.126248	0.054957	0.0191602	0.828024	0.0277807	1.17332	0.0380491	3.66636e-05
10032	1	100	17	500	0.191146	0.176279	0.121007	0.0552715	0.0148676	0.83161	0.0281682	1.17099	0.0339253	3.70696e-05
10033	1	100	17	500	0.192247	0.179691	0.120933	0.0587586	0.0125558	0.828835	0.0251318	1.17541	0.0320977	3.79345e-05
10034	1	100	19	500	0.191558	0.177039	0.123854	0.0531851	0.0145187	0.831665	0.0235124	1.17138	0.0324685	3.70023e-05
10035	1	100	17	500	0.192379	0.179743	0.119282	0.0604614	0.0126358	0.829366	0.0254225	1.17545	0.0336848	3.83389e-05
10036	1	100	14	500	0.187466	0.179087	0.125306	0.0537803	0.0083791	0.829279	0.0267749	1.17753	0.0348676	3.72854e-05
10037	1	100	16	500	0.190096	0.180747	0.1281	0.0526473	0.00934869	0.827669	0.0262854	1.1783	0.0342197	3.75413e-05
10038	1	100	17	500	0.194814	0.183947	0.131684	0.0522637	0.010867	0.824966	0.0267781	1.1805	0.036097	3.68797e-05
10039	1	100	16	500	0.197798	0.185506	0.137426	0.0480803	0.0122924	0.823729	0.0298248	1.18048	0.0386444	3.51143e-05
10040	1	100	19	500	0.199663	0.182771	0.134856	0.0479147	0.0168925	0.827027	0.0241777	1.17427	0.0345785	3.53069e-05
10041	1	100	16	500	0.205416	0.185135	0.133608	0.0515265	0.020281	0.824526	0.0268624	1.17177	0.0377697	3.45781e-05
10042	1	100	18	500	0.206099	0.187502	0.13229	0.0552126	0.0185967	0.822989	0.0239854	1.17676	0.0335253	3.32472e-05
