Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
10053	1	100	12	500	0.31216	0.308892	0.157396	0.151496	0.00326752	0.720334	0.0173952	1.33352	0.0243609
10054	1	100	11	500	0.309579	0.306658	0.15771	0.148948	0.00292116	0.721823	0.0251829	1.33175	0.0395579
10055	1	100	16	500	0.305667	0.303029	0.158864	0.144164	0.00263805	0.724713	0.021487	1.32787	0.0338002
10056	1	100	11	500	0.308988	0.306337	0.159369	0.146968	0.00265041	0.722595	0.0207477	1.33252	0.032214
10057	1	100	11	500	0.306599	0.303835	0.15904	0.144795	0.00276411	0.723298	0.0181051	1.32769	0.0292655
10058	1	100	10	500	0.312063	0.308708	0.163082	0.145626	0.00335473	0.720217	0.0235587	1.33376	0.035799
10059	1	100	16	500	0.316435	0.312429	0.166422	0.146007	0.00400621	0.71654	0.0307819	1.33574	0.0421683
10060	1	100	14	500	0.317504	0.313601	0.168725	0.144876	0.00390281	0.717298	0.0229732	1.34078	0.0398678
10061	1	100	14	500	0.321986	0.318733	0.168018	0.150715	0.00325271	0.713005	0.0261936	1.34664	0.0392239
10062	1	100	15	500	0.319948	0.316766	0.16894	0.147826	0.00318199	0.714386	0.0253613	1.34507	0.0441136
10063	1	100	14	500	0.316716	0.314088	0.183265	0.130823	0.00262734	0.717249	0.0247063	1.34446	0.0424101
10064	1	100	16	500	0.324827	0.321606	0.185243	0.136363	0.00322105	0.710403	0.0276603	1.35151	0.0492681
10065	1	100	14	500	0.327372	0.323746	0.182648	0.141098	0.00362625	0.708351	0.0295677	1.35273	0.0477917
10066	1	100	15	500	0.328608	0.325056	0.180024	0.145031	0.00355178	0.708181	0.0286391	1.35543	0.0463112
10067	1	100	16	500	0.337082	0.332832	0.185022	0.14781	0.00425013	0.701812	0.0332789	1.36338	0.0550183
10068	1	100	15	500	0.342241	0.330038	0.178919	0.151118	0.0122035	0.704725	0.0342309	1.35459	0.0580573
10069	1	100	17	500	0.339422	0.32749	0.175238	0.152253	0.0119315	0.705793	0.03355	1.34921	0.0464712
10070	1	100	13	500	0.339189	0.326153	0.176651	0.149502	0.0130359	0.707326	0.0328014	1.34801	0.049777
