Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	42	500	0.343832	0.328235	0.255237	0.072998	0.0155971	0.703721	0.0562276	1.34974	0.0834533	2.57709e-05
10002	1	100	34	500	0.348081	0.320456	0.241684	0.0787713	0.027625	0.712209	0.0633091	1.3334	0.0871395	2.51172e-05
10003	1	100	28	500	0.396757	0.347233	0.280687	0.0665467	0.0495236	0.692689	0.0563887	1.34705	0.0731264	2.25202e-05
10004	1	100	26	500	0.375203	0.334948	0.269375	0.0655729	0.0402549	0.700741	0.0569323	1.33853	0.0837244	2.29246e-05
10005	1	100	23	500	0.36867	0.332475	0.268167	0.0643074	0.0361957	0.703285	0.0533524	1.34056	0.0845697	2.32889e-05
10006	1	100	24	500	0.381313	0.335428	0.266907	0.0685215	0.0458845	0.701145	0.0537471	1.33525	0.0816819	2.42917e-05
10007	1	100	24	500	0.361349	0.321361	0.244209	0.0771521	0.0399877	0.712746	0.0616154	1.32448	0.0921868	2.57826e-05
10008	1	100	22	500	0.351398	0.316276	0.238619	0.0776573	0.0351216	0.715438	0.0632448	1.3192	0.0983479	2.53463e-05
10009	1	100	21	500	0.335129	0.311814	0.228241	0.0835722	0.0233148	0.719871	0.0551566	1.32099	0.0777248	2.69673e-05
10010	1	100	19	500	0.332776	0.309926	0.227186	0.0827403	0.0228497	0.721551	0.0628868	1.31999	0.0909365	2.60296e-05
10011	1	100	18	500	0.323365	0.30172	0.222003	0.0797172	0.0216445	0.72655	0.0555276	1.30928	0.0729793	2.52569e-05
10012	1	100	19	500	0.333374	0.315292	0.242758	0.0725333	0.0180823	0.715699	0.0544161	1.32938	0.0776272	2.49533e-05
10013	1	100	19	500	0.328646	0.310728	0.233074	0.0776546	0.0179178	0.718587	0.051584	1.32299	0.0784145	2.67649e-05
10014	1	100	23	500	0.335871	0.316612	0.243673	0.0729383	0.0192597	0.712476	0.0533109	1.32747	0.0873884	2.61785e-05
10015	1	100	22	500	0.339213	0.318865	0.249618	0.0692471	0.0203474	0.712302	0.0492747	1.33332	0.080831	2.59398e-05
10016	1	100	18	500	0.343423	0.318657	0.245729	0.0729283	0.0247652	0.71371	0.0471769	1.3313	0.0741927	2.56357e-05
10017	1	100	18	500	0.364496	0.333374	0.264742	0.0686323	0.0311221	0.701526	0.0506349	1.34146	0.0800403	2.44311e-05
10018	1	100	22	500	0.371922	0.333547	0.25997	0.0735775	0.0383747	0.701702	0.0581286	1.33272	0.0877759	2.482e-05
10019	1	100	20	500	0.373048	0.337611	0.268955	0.0686558	0.0354374	0.698507	0.040261	1.34226	0.0741482	2.52121e-05
10020	1	100	22	500	0.369113	0.346126	0.29113	0.0549964	0.0229868	0.687872	0.0389608	1.3592	0.0806394	2.21504e-05
10021	1	100	21	500	0.366468	0.349801	0.299864	0.0499371	0.0166669	0.688339	0.0458627	1.37376	0.0691554	2.19371e-05
10022	1	100	21	500	0.364674	0.348573	0.298619	0.0499538	0.0161012	0.689267	0.042142	1.37304	0.0714888	2.36896e-05
10023	1	100	20	500	0.380041	0.358741	0.299865	0.0588758	0.0213005	0.683469	0.0400831	1.37598	0.0660206	2.43759e-05
10024	1	100	19	500	0.375046	0.352663	0.296914	0.0557481	0.0223833	0.68672	0.0350497	1.37212	0.0646763	2.31738e-05
10025	1	100	19	500	0.39486	0.365105	0.315956	0.0491499	0.0297545	0.677548	0.0373506	1.3819	0.0696059	2.16651e-05
10026	1	100	18	500	0.393859	0.368363	0.327573	0.0407903	0.025496	0.674847	0.0341971	1.39116	0.0536653	2.1578e-05
10027	1	100	17	500	0.378225	0.359816	0.314499	0.045317	0.0184092	0.681005	0.033357	1.38589	0.0572453	2.24945e-05
10028	1	100	18	500	0.387632	0.3731	0.341874	0.0312259	0.0145321	0.667804	0.0289513	1.39932	0.0469165	1.97443e-05
10029	1	100	19	500	0.386479	0.371769	0.341901	0.0298682	0.0147099	0.671135	0.0265103	1.40351	0.0415357	1.98109e-05
10030	1	100	17	500	0.389351	0.373473	0.339974	0.0334989	0.0158776	0.668575	0.0256692	1.40079	0.0579783	2.02474e-05
10031	1	100	14	500	0.390224	0.373616	0.343399	0.030217	0.0166082	0.66926	0.0234228	1.40161	0.0437392	1.91648e-05
10032	1	100	16	500	0.385949	0.371231	0.346258	0.0249734	0.0147181	0.670871	0.0202062	1.4012	0.0378786	1.79319e-05
10033	1	100	15	500	0.127769	0.117062	0.102215	0.0148465	0.0107066	0.883274	0.0193196	1.1077	0.0253891	1.50495e-05
10034	1	100	14	500	0.136631	0.1207	0.0984861	0.0222142	0.0159308	0.881709	0.0208734	1.10933	0.0205582	1.80608e-05
10035	1	100	12	500	0.142067	0.12658	0.10748	0.0191	0.0154877	0.874235	0.0259827	1.11232	0.0226696	1.68212e-05
10036	1	100	14	500	0.128811	0.119512	0.109072	0.0104393	0.00929934	0.881212	0.0145809	1.11352	0.0166398	1.55045e-05
10037	1	100	12	500	0.134559	0.122616	0.106974	0.015642	0.0119433	0.879068	0.0145182	1.11459	0.0145524	1.56216e-05
10038	1	100	12	500	0.128079	0.120192	0.110713	0.00947921	0.00788667	0.880898	0.0172182	1.11555	0.0156512	1.5504e-05
10039	1	100	14	500	0.123118	0.118274	0.11272	0.00555456	0.00484339	0.881529	0.0135567	1.11466	0.0138318	1.26081e-05
10040	1	100	8	500	0.0029562	0.000686129	0.000118612	0.000567517	0.00227007	0.999331	0.00233375	0.999331	0.00233375	1.3111e-05
10041	1	100	6	500	0.00202618	0.000469106	7.98374e-05	0.000389268	0.00155707	0.999564	0.001404	0.999596	0.00141362	1.17524e-05
10042	1	100	7	500	0.00244906	0.000576161	0.000107936	0.000468225	0.0018729	0.99908	0.00657685	0.999662	0.00663226	1.31645e-05
10043	1	100	8	500	0.00383596	0.000923432	0.0001953	0.000728132	0.00291253	0.999139	0.00260162	0.999139	0.00260161	1.28432e-05
10044	1	100	8	500	0.00225722	0.000491348	4.98808e-05	0.000441467	0.00176587	0.999057	0.00615213	0.999057	0.00615213	1.21082e-05
10045	1	100	8	500	0.00241322	0.00054929	8.33075e-05	0.000465982	0.00186393	0.999438	0.00261484	0.999438	0.00261484	1.1204e-05
10046	1	100	8	500	0.00181374	0.000400487	4.71732e-05	0.000353314	0.00141325	0.999319	0.00459853	0.999319	0.00459853	9.56815e-06
10047	1	100	9	500	0.00182838	0.000411049	5.67154e-05	0.000354333	0.00141733	0.99915	0.00858701	0.99915	0.00858701	9.36057e-06
10048	1	100	8	500	0.00115761	0.000246048	1.81581e-05	0.000227889	0.000911558	0.999606	0.00218782	0.999606	0.00218782	1.02451e-05
10049	1	100	8	500	0.000794028	0.000193924	1.32218e-05	0.000180702	0.000600104	0.99972	0.00167904	0.999782	0.00168768	1.04205e-05
10050	1	100	8	500	0.00220723	0.000459682	2.27943e-05	0.000436888	0.00174755	0.999465	0.00308878	0.999465	0.00308878	1.07943e-05
10051	1	100	6	500	0.00220931	0.000511481	3.08364e-05	0.000480645	0.00169783	0.999263	0.00400597	0.999445	0.00403507	9.93488e-06
10052	1	100	3	500	4.20396e-05	1.11167e-05	3.38602e-06	7.73071e-06	3.09228e-05	0.99958	0.005091	0.999625	0.00509448	9.01716e-06
10053	1	100	5	500	8.63702e-05	4.37318e-05	3.30802e-06	4.04238e-05	4.26384e-05	0.999321	0.00859191	0.999381	0.00859633	9.06781e-06
10054	1	100	3	500	0.000267129	5.89296e-05	6.87963e-06	5.205e-05	0.0002082	0.999868	0.000966131	0.999938	0.00097231	9.01935e-06
10055	1	100	5	500	2.55988e-05	8.47758e-06	4.19728e-06	4.2803e-06	1.71212e-05	0.999904	0.00145537	0.999904	0.00145537	9.37627e-06
10056	1	100	6	500	0.000846137	0.000173278	5.06302e-06	0.000168215	0.000672859	0.99967	0.00345705	0.999845	0.00346937	9.46804e-06
10057	1	100	7	500	0.000233418	5.33223e-05	8.29843e-06	4.50238e-05	0.000180095	0.999589	0.00479706	0.999659	0.00480233	8.24632e-06
10058	1	100	6	500	6.41307e-05	1.90477e-05	7.77699e-06	1.12707e-05	4.50829e-05	0.999649	0.00615696	0.999684	0.00615889	7.36836e-06
10059	1	100	6	500	0.000251665	5.99147e-05	1.19772e-05	4.79375e-05	0.00019175	0.999889	0.000783563	0.999889	0.000783565	8.00182e-06
10060	1	100	6	500	0.000179952	4.70281e-05	1.37972e-05	3.32309e-05	0.000132924	0.999837	0.00228099	0.999841	0.00228124	8.35191e-06
10061	1	100	11	500	0.00060171	0.000151657	2.16085e-05	0.000130048	0.000450053	0.999648	0.00224664	0.999683	0.00225168	8.92302e-06
10062	1	100	9	500	0.00405422	0.00106797	6.20697e-05	0.0010059	0.00298624	0.998932	0.00438398	0.999458	0.0044649	9.26057e-06
10063	1	100	10	500	0.00975013	0.00246651	0.00035229	0.00211423	0.00728361	0.997734	0.00674552	0.998331	0.00691144	1.04102e-05
10064	1	100	8	500	0.0121743	0.00295064	0.000540042	0.00241059	0.00922364	0.997421	0.00745176	0.997632	0.0075206	1.13623e-05
10065	1	100	10	500	0.00611771	0.00156015	0.000144414	0.00141574	0.00455756	0.998146	0.00658994	0.999049	0.00618255	1.06608e-05
10066	1	100	12	500	0.00683974	0.00180214	0.000165468	0.00163668	0.00503759	0.998018	0.00737408	0.999212	0.00758467	9.59167e-06
10067	1	100	7	500	0.0112111	0.00296994	0.000465137	0.0025048	0.00824121	0.997009	0.00983117	0.998627	0.0101474	9.71873e-06
10068	1	100	7	500	0.00904689	0.00238078	0.000303103	0.00207768	0.00666611	0.997829	0.00669921	0.998667	0.00621776	1.01455e-05
10069	1	100	8	500	0.00862611	0.00258364	0.000278298	0.00230534	0.00604247	0.995787	0.0231237	0.997477	0.0231506	1.07389e-05
10070	1	100	9	500	0.00391643	0.00145964	8.25505e-05	0.00137709	0.00245679	0.998348	0.00563255	0.999924	0.00584305	1.02119e-05
10071	1	100	5	500	0.00180914	0.000956223	0.000133849	0.000822374	0.000852912	0.999049	0.00265807	1.00032	0.00264183	1.0698e-05
10072	1	100	10	500	0.00200225	0.00123218	0.000112779	0.0011194	0.000770073	0.998463	0.00535819	1.00059	0.0052517	1.05883e-05
10073	1	100	6	500	0.00465002	0.00364223	0.000209114	0.00343312	0.00100779	0.995187	0.0159537	1.00167	0.0165805	1.07093e-05
10074	1	100	7	500	0.0277959	0.00979939	0.00158679	0.0082126	0.0179965	0.99101	0.0197426	0.998607	0.0216493	1.08967e-05
10075	1	100	8	500	0.0232592	0.0105553	0.00113463	0.00942071	0.0127038	0.987565	0.0392463	1.00062	0.038633	1.10378e-05
10076	1	100	9	500	0.0246033	0.0121126	0.00135296	0.0107597	0.0124906	0.988177	0.0244626	1.00445	0.0265741	1.08605e-05
10077	1	100	9	500	0.031088	0.0169591	0.00195873	0.0150004	0.0141289	0.983511	0.0305613	1.0082	0.030194	1.08308e-05
10078	1	100	11	500	0.0219854	0.0136646	0.00122512	0.0124395	0.00832083	0.986664	0.028379	1.0088	0.0266624	1.1171e-05
10079	1	100	8	500	0.0191126	0.0141742	0.00135583	0.0128183	0.00493843	0.985951	0.0300047	1.01103	0.0311472	1.16904e-05
10080	1	100	12	500	0.0190283	0.0177311	0.0020087	0.0157224	0.00129727	0.982004	0.0362822	1.01649	0.0360581	1.15183e-05
10081	1	100	8	500	0.0192673	0.0185453	0.00215135	0.016394	0.000721963	0.981326	0.0411122	1.01791	0.0414297	1.15354e-05
10082	1	100	8	500	0.0204554	0.0195231	0.00234983	0.0171733	0.000932252	0.980456	0.0328599	1.01875	0.0332155	1.16948e-05
10083	1	100	7	500	0.0198002	0.0185531	0.00211465	0.0164384	0.00124711	0.981299	0.0341077	1.01746	0.0345406	1.10447e-05
10084	1	100	8	500	0.034064	0.0311061	0.00568924	0.0254169	0.00295787	0.968688	0.0442573	1.02888	0.0430617	1.13567e-05
10085	1	100	8	500	0.0416264	0.0362867	0.00766381	0.0286229	0.00533969	0.96363	0.0480577	1.03261	0.045904	1.26642e-05
10086	1	100	12	500	0.0400795	0.0348926	0.00695578	0.0279368	0.00518694	0.965386	0.0434468	1.03172	0.0418109	1.25101e-05
10087	1	100	9	500	0.0480269	0.0408235	0.0098496	0.0309739	0.00720344	0.95907	0.0469878	1.03588	0.0441768	1.1953e-05
10088	1	100	8	500	0.0441582	0.0393175	0.00913163	0.0301859	0.00484073	0.959689	0.0548161	1.03485	0.048605	1.11136e-05
10089	1	100	8	500	0.0554731	0.0477144	0.0133392	0.0343752	0.00775868	0.952371	0.0543585	1.04209	0.0523994	1.23178e-05
10090	1	100	10	500	0.0378075	0.0330236	0.0063154	0.0267082	0.00478392	0.967179	0.0439416	1.02951	0.0420873	1.32105e-05
10091	1	100	11	500	0.0365123	0.0315784	0.00605287	0.0255255	0.00493399	0.968146	0.0394622	1.02708	0.0395479	1.37561e-05
10092	1	100	9	500	0.0306471	0.0253995	0.00412049	0.021279	0.00524758	0.974345	0.0412554	1.0207	0.0400991	1.41659e-05
10093	1	100	8	500	0.028751	0.0247194	0.00395371	0.0207657	0.00403157	0.975422	0.0394296	1.02121	0.039047	1.39136e-05
10094	1	100	8	500	0.0359053	0.0336786	0.00721432	0.0264642	0.00222673	0.965915	0.0452271	1.03059	0.0458542	1.3669e-05
10095	1	100	11	500	0.0457706	0.0402931	0.00969311	0.0306	0.00547755	0.960021	0.0402449	1.03615	0.0398896	1.36436e-05
10096	1	100	8	500	0.0467977	0.0416635	0.0103564	0.0313071	0.00513413	0.958401	0.0457412	1.03755	0.0451256	1.33826e-05
10097	1	100	7	500	0.0451625	0.0394937	0.00925177	0.0302419	0.00566884	0.960485	0.0462039	1.03514	0.0445894	1.38787e-05
10098	1	100	9	500	0.0626727	0.0445281	0.0100672	0.034461	0.0181446	0.955713	0.0546654	1.03372	0.056494	1.44584e-05
10099	1	100	12	500	0.0516058	0.0454909	0.0117002	0.0337907	0.00611492	0.954586	0.04206	1.03954	0.0429711	1.49634e-05
10100	1	100	11	500	0.0398441	0.0335339	0.00671622	0.0268177	0.00631019	0.966397	0.0399391	1.02763	0.0402925	1.51125e-05
10101	1	100	14	500	0.0468814	0.0389893	0.00865172	0.0303376	0.00789201	0.960705	0.0440978	1.03156	0.0439179	1.59391e-05
