Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5072	1	100	15	500	NA	0.306963	0.253424	0.16764	0.085784	0.0535396	0.763378	0.0156813	1.20948	0.0261207
5073	1	100	14	500	NA	0.3057	0.253843	0.163599	0.0902444	0.0518572	0.762597	0.0287303	1.20706	0.0455191
5074	1	100	13	500	NA	0.304691	0.252576	0.173745	0.0788302	0.0521153	0.762441	0.0230316	1.2077	0.0376277
5075	1	100	11	500	NA	0.293569	0.249713	0.167335	0.0823788	0.0438557	0.765807	0.0175907	1.21347	0.0273393
5076	1	100	14	500	NA	0.313671	0.258639	0.181782	0.0768566	0.0550322	0.761029	0.0209765	1.20633	0.0330331
5077	1	100	15	500	NA	0.304246	0.255367	0.176427	0.0789402	0.0488792	0.761244	0.0243172	1.20517	0.0390578
5078	1	100	14	500	NA	0.311294	0.257182	0.170992	0.0861907	0.0541118	0.764543	0.0156907	1.21016	0.0252442
5079	1	100	23	500	NA	0.29471	0.252704	0.177053	0.075652	0.0420054	0.761134	0.0282655	1.20691	0.0455087
5080	1	100	15	500	NA	0.290419	0.250678	0.189681	0.0609965	0.0397411	0.762741	0.020329	1.21059	0.0332897
5081	1	100	18	500	NA	0.291243	0.250024	0.183295	0.0667291	0.0412196	0.761563	0.027722	1.21063	0.0451924
5082	1	100	14	500	NA	0.294121	0.252042	0.18428	0.0677612	0.0420792	0.762003	0.0206969	1.21101	0.0344727
5083	1	100	17	500	NA	0.295746	0.251493	0.17197	0.0795225	0.0442528	0.764839	0.0165367	1.2124	0.0266224
5084	1	100	14	500	NA	0.297622	0.252404	0.184245	0.0681589	0.0452183	0.763014	0.0200921	1.20886	0.0321407
5085	1	100	15	500	NA	0.308317	0.257292	0.198971	0.0583207	0.0510251	0.76012	0.0227653	1.20458	0.0364789
5086	1	100	21	500	NA	0.308841	0.258034	0.183493	0.0745404	0.0508078	0.753723	0.0382784	1.19637	0.0619278
5087	1	100	16	500	NA	0.306295	0.257468	0.190497	0.0669717	0.0488267	0.760894	0.020361	1.2069	0.0331703
5088	1	100	14	500	NA	0.301559	0.255291	0.179379	0.075912	0.0462673	0.763245	0.0241409	1.20803	0.0382216
5089	1	100	14	500	NA	0.305704	0.257952	0.181691	0.0762611	0.0477521	0.760672	0.0237945	1.20546	0.0370896
5090	1	100	15	500	NA	0.307039	0.259616	0.184143	0.075473	0.0474227	0.757036	0.0330631	1.20169	0.0502907
5091	1	100	16	500	NA	0.314768	0.261616	0.183049	0.0785668	0.0531518	0.762222	0.0161388	1.20689	0.0261604
5092	1	100	16	500	NA	0.306421	0.255924	0.189902	0.0660219	0.0504975	0.761287	0.0231984	1.20566	0.0374949
5093	1	100	13	500	NA	0.305555	0.257515	0.183313	0.0742013	0.0480407	0.760829	0.02537	1.2043	0.0405198
5094	1	100	13	500	NA	0.299975	0.2539	0.174098	0.0798016	0.0460756	0.762953	0.0253308	1.20821	0.0409152
5095	1	100	16	500	NA	0.28951	0.249743	0.164032	0.0857112	0.0397673	0.76518	0.0242818	1.21248	0.0391909
5096	1	100	12	500	NA	0.301914	0.255202	0.186435	0.0687674	0.0467121	0.762314	0.0178645	1.20906	0.0300967
5097	1	100	16	500	NA	0.302593	0.254649	0.172375	0.0822743	0.0479436	0.762595	0.0208604	1.20935	0.0344041
5098	1	100	14	500	NA	0.298376	0.254385	0.174778	0.0796071	0.0439905	0.762738	0.0206399	1.21007	0.033869
5099	1	100	17	500	NA	0.28831	0.249709	0.16175	0.0879586	0.0386017	0.767088	0.0136368	1.21639	0.022282
5100	1	100	14	500	NA	0.279748	0.245212	0.146751	0.0984609	0.0345355	0.76691	0.024405	1.2156	0.0392278
5101	1	100	14	500	NA	0.282167	0.245332	0.148855	0.0964769	0.0368353	0.76989	0.0122478	1.221	0.0189523
