Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	55	500	0.222843	0.137967	0.0755603	0.0624062	0.084876	0.866702	0.0733989	1.02517	0.0559033	5.42029e-05
10002	1	100	34	500	0.215681	0.133111	0.0712208	0.0618899	0.0825702	0.885222	0.0504918	1.0423	0.0380977	5.50766e-05
10003	1	100	34	500	0.215285	0.128741	0.0667175	0.0620231	0.0865446	0.883666	0.0562519	1.03484	0.0364714	5.40761e-05
10004	1	100	31	500	0.183986	0.1171	0.0603314	0.0567685	0.066886	0.88729	0.0675681	1.03051	0.0462468	5.45731e-05
10005	1	100	32	500	0.177477	0.106804	0.0511767	0.0556275	0.0706731	0.905353	0.0574072	1.03217	0.037528	5.48016e-05
10006	1	100	28	500	0.159084	0.0966103	0.0446022	0.0520081	0.0624739	0.910522	0.0509961	1.02571	0.0351224	5.42543e-05
10007	1	100	31	500	0.139878	0.0890257	0.0400674	0.0489584	0.0508523	0.919261	0.0565558	1.02857	0.0319331	5.3241e-05
10008	1	100	28	500	0.139088	0.089265	0.0405965	0.0486685	0.0498225	0.918377	0.0452582	1.02797	0.0319218	5.1867e-05
10009	1	100	28	500	0.13973	0.0928477	0.0438885	0.0489592	0.0468821	0.911607	0.0522082	1.02717	0.0363988	5.11866e-05
10010	1	100	25	500	0.112133	0.0711897	0.0294195	0.0417702	0.0409429	0.935476	0.048046	1.01944	0.031399	5.03028e-05
10011	1	100	27	500	0.117264	0.0716558	0.0293235	0.0423323	0.0456085	0.935521	0.0413789	1.018	0.0305661	5.10415e-05
10012	1	100	27	500	0.131521	0.0770616	0.0324953	0.0445663	0.0544595	0.928584	0.0585812	1.01039	0.0317781	5.14446e-05
10013	1	100	27	500	0.142628	0.0838745	0.0370338	0.0468407	0.0587534	0.926574	0.060328	1.01258	0.0244931	5.12572e-05
10014	1	100	31	500	0.142061	0.086505	0.03951	0.046995	0.0555561	0.923461	0.0621357	1.0126	0.0232097	5.03508e-05
10015	1	100	24	500	0.148963	0.0911183	0.0430135	0.0481048	0.0578443	0.917128	0.0623545	1.00829	0.024382	5.01135e-05
10016	1	100	26	500	0.127846	0.0792607	0.036098	0.0431627	0.0485853	0.924663	0.0671358	1.00418	0.0271886	4.93209e-05
10017	1	100	26	500	0.115064	0.0768149	0.03606	0.0407548	0.0382495	0.93119	0.0486466	1.01329	0.0239383	4.94383e-05
10018	1	100	24	500	0.110558	0.0781588	0.0387391	0.0394197	0.032399	0.926862	0.0516249	1.01096	0.0269906	4.69763e-05
10019	1	100	26	500	0.118528	0.0813866	0.0394987	0.0418879	0.0371411	0.92602	0.0498765	1.01462	0.0281873	4.82696e-05
10020	1	100	25	500	0.11553	0.0874096	0.0457366	0.041673	0.0281201	0.918548	0.0529016	1.01652	0.0268984	4.64464e-05
10021	1	100	25	500	0.112677	0.0864196	0.0462682	0.0401513	0.0262571	0.920545	0.0471178	1.01533	0.0263288	4.45224e-05
10022	1	100	28	500	0.100319	0.0770824	0.0415202	0.0355622	0.0232364	0.927497	0.0490338	1.01056	0.0273563	4.21284e-05
10023	1	100	28	500	0.0927165	0.0714496	0.040851	0.0305986	0.0212669	0.930933	0.0437965	1.00257	0.0247982	3.98935e-05
10024	1	100	25	500	0.0828212	0.0655049	0.0425009	0.023004	0.0173163	0.938501	0.0370029	0.999331	0.0236964	3.50209e-05
10025	1	100	25	500	0.0793729	0.0622959	0.0385386	0.0237573	0.017077	0.941501	0.0426298	1.00131	0.0195346	3.75847e-05
10026	1	100	26	500	0.0782524	0.0614287	0.0399564	0.0214723	0.0168237	0.940669	0.0401155	0.997158	0.0200928	3.55329e-05
10027	1	100	29	500	0.0750155	0.0562778	0.03263	0.0236478	0.0187377	0.947071	0.0386904	1.00279	0.0232275	3.97184e-05
10028	1	100	24	500	0.0792131	0.0601748	0.0353653	0.0248096	0.0190383	0.945418	0.043256	1.00431	0.0184076	3.86855e-05
10029	1	100	25	500	0.094263	0.0748245	0.0444325	0.0303919	0.0194385	0.929727	0.0431376	1.00424	0.0242245	3.84287e-05
10030	1	100	20	500	0.0985244	0.0802201	0.0485741	0.031646	0.0183043	0.926073	0.0390779	1.00592	0.0265343	3.68854e-05
10031	1	100	20	500	0.110867	0.093099	0.0581461	0.0349528	0.0177681	0.912792	0.0477737	1.00439	0.0213088	3.5013e-05
10032	1	100	20	500	0.098296	0.079787	0.0491949	0.0305921	0.018509	0.926161	0.0420621	1.00377	0.0236609	3.52819e-05
10033	1	100	19	500	0.101493	0.0817591	0.0512628	0.0304963	0.0197338	0.92262	0.0450271	1.00023	0.023608	3.38794e-05
10034	1	100	18	500	0.120243	0.0984829	0.0616875	0.0367955	0.0217598	0.907922	0.050007	1.00235	0.0191423	3.33011e-05
10035	1	100	18	500	0.126296	0.104577	0.0650579	0.0395187	0.0217193	0.902715	0.04747	1.00549	0.0238729	3.48542e-05
10036	1	100	22	500	0.120924	0.0980473	0.0614828	0.0365645	0.0228772	0.908366	0.0417861	1.00191	0.0222503	3.56046e-05
10037	1	100	19	500	0.124424	0.0984633	0.060235	0.0382284	0.0259608	0.909095	0.0422246	1.00397	0.0236223	3.86956e-05
10038	1	100	20	500	0.122916	0.0982732	0.0598653	0.0384079	0.0246432	0.906074	0.0500897	1.00147	0.0223511	4.03489e-05
10039	1	100	20	500	0.120743	0.0945851	0.0570771	0.0375081	0.0261574	0.912093	0.0438824	1.00374	0.0234318	3.95296e-05
10040	1	100	18	500	0.121796	0.0872815	0.048328	0.0389534	0.0345142	0.920564	0.0437212	1.00597	0.0257902	4.36244e-05
10041	1	100	23	500	0.122515	0.0811097	0.0437198	0.0373899	0.0414057	0.925252	0.0483272	0.999329	0.0310439	4.35029e-05
10042	1	100	19	500	0.111339	0.0752197	0.0413127	0.033907	0.0361195	0.930058	0.0492279	0.998976	0.0201622	4.17973e-05
10043	1	100	24	500	0.124124	0.0887138	0.0516273	0.0370866	0.0354104	0.917497	0.0401396	1.00009	0.0253873	3.82346e-05
