Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5051	1	100	24	500	0.0920354	0.0651973	0.0181471	0.0470502	0.0268381	0.940377	0.0284357	1.04565	0.0370497
5052	1	100	26	500	0.0981773	0.0673917	0.021027	0.0463647	0.0307855	0.93951	0.0314133	1.04386	0.0397197
5053	1	100	22	500	0.0971872	0.0695592	0.0217785	0.0477807	0.027628	0.936324	0.0313256	1.04826	0.0384895
5054	1	100	21	500	0.0963568	0.067192	0.0191358	0.0480562	0.0291648	0.939232	0.0338832	1.04579	0.0466579
5055	1	100	22	500	0.0979966	0.0662689	0.0214436	0.0448253	0.0317277	0.940995	0.0307421	1.03977	0.0403533
5056	1	100	20	500	0.0946281	0.0671441	0.0221377	0.0450064	0.0274839	0.940676	0.0286132	1.04293	0.0368847
5057	1	100	21	500	0.0908845	0.062635	0.0211664	0.0414686	0.0282495	0.945444	0.0285458	1.03805	0.0371144
5058	1	100	20	500	0.0897381	0.0647225	0.021533	0.0431895	0.0250157	0.941978	0.0339704	1.04481	0.0428152
5059	1	100	19	500	0.0900082	0.067565	0.0230429	0.0445221	0.0224432	0.937091	0.0312321	1.04862	0.0412636
5060	1	100	21	500	0.0848613	0.0603191	0.0204328	0.0398863	0.0245423	0.946246	0.0333935	1.04	0.0423398
5061	1	100	21	500	0.0897067	0.0611722	0.0206478	0.0405244	0.0285345	0.945455	0.0320681	1.03802	0.0385656
5062	1	100	23	500	0.093748	0.0654176	0.0235112	0.0419064	0.0283304	0.941724	0.0328763	1.04088	0.0411058
5063	1	100	22	500	0.0923745	0.0642337	0.0219475	0.0422862	0.0281409	0.942756	0.0302298	1.04089	0.0396407
5064	1	100	21	500	0.0921087	0.0644513	0.0228369	0.0416144	0.0276574	0.942384	0.0300281	1.03935	0.0367583
5065	1	100	24	500	0.0927203	0.0619278	0.0220392	0.0398886	0.0307925	0.946718	0.0312931	1.03342	0.039853
5066	1	100	21	500	0.0821702	0.0540474	0.0173126	0.0367348	0.0281229	0.953226	0.0308066	1.03044	0.0379965
5067	1	100	20	500	0.0838065	0.0556561	0.0187483	0.0369078	0.0281504	0.951817	0.030735	1.03177	0.0390349
5068	1	100	22	500	0.0831199	0.0543216	0.0160968	0.0382248	0.0287984	0.952561	0.0336899	1.02926	0.0433414
5069	1	100	21	500	0.0829609	0.0519465	0.0153085	0.036638	0.0310144	0.954757	0.0325504	1.02292	0.0437709
5070	1	100	24	500	0.0876496	0.0601482	0.0155112	0.044637	0.0275014	0.946659	0.0357523	1.03863	0.0473253
5071	1	100	25	500	0.0872986	0.0655631	0.0166407	0.0489224	0.0217355	0.938724	0.0315555	1.05074	0.0400912
5072	1	100	25	500	0.0928334	0.0683939	0.0182021	0.0501917	0.0244395	0.937533	0.0338089	1.05049	0.0444195
5073	1	100	22	500	0.09934	0.0741892	0.0208798	0.0533094	0.0251508	0.931669	0.0343278	1.05605	0.0458078
5074	1	100	24	500	0.0928418	0.0651982	0.0185831	0.0466152	0.0276436	0.943196	0.0286964	1.04095	0.0393013
5075	1	100	25	500	0.0874522	0.0626916	0.0162036	0.0464879	0.0247607	0.942965	0.0365746	1.04425	0.045435
5076	1	100	23	500	0.0914161	0.0658292	0.0188785	0.0469507	0.0255869	0.942148	0.0310961	1.04341	0.0443258
5077	1	100	21	500	0.094671	0.0662299	0.019793	0.0464369	0.0284411	0.942463	0.0308863	1.03873	0.0426991
5078	1	100	24	500	0.0962556	0.0693477	0.0201158	0.0492319	0.0269079	0.9366	0.0355179	1.04382	0.0551894
5079	1	100	22	500	0.0991879	0.0711149	0.0225926	0.0485222	0.0280731	0.93915	0.0303619	1.04397	0.042645
5080	1	100	25	500	0.100109	0.0681699	0.0215094	0.0466604	0.0319388	0.939572	0.0312102	1.03598	0.0461276
5081	1	100	22	500	0.0917054	0.0631436	0.0188588	0.0442849	0.0285617	0.946113	0.0330755	1.03687	0.0433706
5082	1	100	24	500	0.087812	0.0594796	0.0171341	0.0423455	0.0283323	0.949201	0.0306388	1.03409	0.0402631
5083	1	100	24	500	0.0860619	0.0595172	0.0170374	0.0424798	0.0265447	0.948092	0.0302955	1.03677	0.0418049
5084	1	100	22	500	0.0855085	0.0576516	0.0169672	0.0406844	0.0278568	0.950335	0.0292021	1.03333	0.0396511
5085	1	100	24	500	0.0891233	0.0631366	0.0180184	0.0451182	0.0259867	0.943776	0.0335999	1.04163	0.0446394
5086	1	100	23	500	0.0883777	0.0618163	0.017859	0.0439573	0.0265614	0.945225	0.0294908	1.03979	0.0401668
5087	1	100	23	500	0.0848175	0.0588588	0.0166664	0.0421924	0.0259587	0.94757	0.0282444	1.03797	0.0372074
5088	1	100	22	500	0.0873659	0.0610389	0.0175156	0.0435233	0.0263269	0.945821	0.0300055	1.03954	0.041121
5089	1	100	24	500	0.0920087	0.061889	0.0185848	0.0433042	0.0301198	0.946844	0.0272584	1.03496	0.0355069
