Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5001	1	100	52	500	NA	0.224358	0.202014	0.166663	0.0353512	0.0223433	0.808374	0.0335869	1.1867	0.0365962
5002	1	100	35	500	NA	0.221649	0.196662	0.161115	0.0355468	0.0249874	0.815148	0.0335629	1.18095	0.0372455
5003	1	100	29	500	NA	0.105067	0.076399	0.044496	0.031903	0.0286677	0.92697	0.0341459	1.05362	0.0310563
5004	1	100	29	500	NA	0.106463	0.0790318	0.0464355	0.0325963	0.0274316	0.924053	0.0338773	1.05446	0.0292035
5005	1	100	26	500	NA	0.125019	0.0834217	0.047903	0.0355188	0.0415969	0.918393	0.0365411	1.0499	0.031368
5006	1	100	27	500	NA	0.141103	0.0883776	0.0494711	0.0389065	0.0527256	0.915612	0.0396504	1.04697	0.0290947
5007	1	100	25	500	NA	0.145591	0.0925713	0.0520059	0.0405654	0.0530201	0.912769	0.0427555	1.05025	0.0312777
5008	1	100	23	500	NA	0.162176	0.104633	0.0609736	0.0436595	0.0575433	0.901552	0.0398024	1.05711	0.0317076
5009	1	100	27	500	NA	0.140979	0.0927256	0.0495446	0.043181	0.0482533	0.905023	0.070406	1.04484	0.0735059
5010	1	100	29	500	NA	0.146058	0.0919655	0.0468636	0.0451019	0.0540927	0.912393	0.0461344	1.04866	0.0333309
5011	1	100	25	500	NA	0.151777	0.0915772	0.0441901	0.0473871	0.0602	0.90699	0.0715533	1.03637	0.0711342
5012	1	100	25	500	NA	0.161849	0.0968889	0.0508405	0.0460483	0.0649599	0.910738	0.0408873	1.04844	0.0332535
5013	1	100	21	500	NA	0.160282	0.0969362	0.0514107	0.0455255	0.0633457	0.910271	0.0417405	1.05017	0.0375676
5014	1	100	20	500	NA	0.157347	0.0895995	0.0446761	0.0449234	0.0677471	0.918501	0.0414135	1.04302	0.0299705
5015	1	100	20	500	NA	0.118838	0.0731215	0.0336897	0.0394318	0.0457163	0.929219	0.0471137	1.03629	0.0386623
5016	1	100	20	500	NA	0.125706	0.0760818	0.0346589	0.0414228	0.0496247	0.929119	0.0364161	1.03917	0.0284266
5017	1	100	18	500	NA	0.121806	0.0766836	0.0355825	0.0411011	0.0451225	0.929499	0.0427397	1.04275	0.0330052
5018	1	100	19	500	NA	0.131787	0.0830841	0.0397393	0.0433449	0.0487029	0.922147	0.0473811	1.04092	0.0381004
5019	1	100	17	500	NA	0.145676	0.0874547	0.0399621	0.0474927	0.0582211	0.918993	0.0523522	1.03602	0.0404274
5020	1	100	23	500	NA	0.148355	0.0852717	0.0383543	0.0469174	0.0630832	0.915425	0.0688108	1.02283	0.0430152
