Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	
5055	1	100	9	500	NA	0.280714	0.245355	0.196553	0.0488026	0.0353582	0.7573	0.0479483	1.1973	0.0758568
5056	1	100	11	500	NA	0.290911	0.251251	0.206558	0.0446927	0.0396605	0.756237	0.0449913	1.19621	0.0713704
5057	1	100	9	500	NA	0.277532	0.243671	0.192503	0.0511684	0.0338609	0.763075	0.0357071	1.20625	0.0563471
5058	1	100	9	500	NA	0.286227	0.248014	0.176063	0.0719509	0.0382131	0.76403	0.0280209	1.20832	0.0443602
5059	1	100	14	500	NA	0.290412	0.250646	0.179996	0.0706501	0.0397654	0.763505	0.0298619	1.20757	0.0473507
5060	1	100	11	500	NA	0.306052	0.26164	0.213525	0.0481152	0.0444122	0.751562	0.0508215	1.18821	0.0803426
5061	1	100	10	500	NA	0.315151	0.268321	0.219997	0.048324	0.0468302	0.738855	0.0671238	1.16919	0.105128
5062	1	100	10	500	NA	0.298394	0.255396	0.193723	0.0616738	0.0429975	0.755585	0.0461976	1.19491	0.0731294
5063	1	100	13	500	NA	0.297964	0.25497	0.205366	0.0496043	0.0429941	0.751693	0.0528491	1.18887	0.0837014
5064	1	100	13	500	NA	0.303974	0.258786	0.202562	0.0562243	0.045188	0.753315	0.0475976	1.19294	0.0758976
5065	1	100	10	500	NA	0.311983	0.266762	0.215676	0.0510856	0.0452216	0.738516	0.0661197	1.17291	0.106411
5066	1	100	12	500	NA	0.313499	0.268089	0.214191	0.0538984	0.0454093	0.738358	0.0647052	1.1767	0.106213
5067	1	100	13	500	NA	0.32186	0.271802	0.219495	0.0523072	0.0500576	0.747188	0.0489537	1.19141	0.0787021
5068	1	100	10	500	NA	0.31759	0.271742	0.223516	0.048226	0.0458473	0.740875	0.0610931	1.17582	0.0981957
5069	1	100	11	500	NA	0.305095	0.262009	0.19856	0.0634497	0.0430859	0.751481	0.0520659	1.19067	0.0831237
5070	1	100	8	500	NA	0.340176	0.291171	0.245723	0.0454474	0.0490055	0.724115	0.0751046	1.14495	0.118885
5071	1	100	10	500	NA	0.352932	0.302278	0.2607	0.0415785	0.0506538	0.718725	0.0768474	1.13622	0.121518
5072	1	100	14	500	NA	0.363776	0.31335	0.262258	0.0510915	0.0504266	0.707729	0.0826029	1.11918	0.130853
5073	1	100	11	500	NA	0.351344	0.301159	0.249349	0.0518098	0.0501857	0.723174	0.0737248	1.14345	0.11672
5074	1	100	15	500	NA	0.364818	0.309327	0.246583	0.062744	0.0554911	0.713459	0.0804293	1.12832	0.127194
5075	1	100	12	500	NA	0.383461	0.322198	0.2608	0.0613983	0.0612626	0.708413	0.0802865	1.11999	0.126998
5076	1	100	11	500	NA	0.387815	0.320951	0.263904	0.0570465	0.0668645	0.703839	0.0828726	1.11294	0.131199
5077	1	100	11	500	NA	0.37609	0.315841	0.257543	0.058298	0.0602492	0.705036	0.0851377	1.11514	0.13501
5078	1	100	13	500	NA	0.377655	0.319318	0.255533	0.063785	0.0583369	0.711035	0.0807946	1.1246	0.125931
5079	1	100	13	500	NA	0.380971	0.31657	0.237093	0.0794766	0.0644011	0.704658	0.0844849	1.1153	0.134057
5080	1	100	17	500	NA	0.374407	0.313739	0.236317	0.0774213	0.0606682	0.714505	0.0797975	1.12996	0.126454
5081	1	100	12	500	NA	0.390081	0.326069	0.249995	0.0760741	0.0640118	0.699895	0.0850929	1.10721	0.135153
5082	1	100	15	500	NA	0.395416	0.324104	0.254001	0.070103	0.0713125	0.704245	0.0843333	1.11337	0.133393
5083	1	100	13	500	NA	0.372937	0.310679	0.228948	0.0817311	0.0622578	0.707463	0.0839319	1.11903	0.133158
