Generation	PopulationID	SampleSize	UniqueMutations	PopulationSize	totalLoad	RelzLoad	RelzLoadHomo	RelzLoadHetero	MskLoad	MeanFitness	SdFitness	MeanFitnessCached	SdFitnessCached	Heterozygosity	
10001	1	100	56	500	0.347584	0.328872	0.252604	0.076268	0.018712	0.707279	0.0404651	1.34839	0.0547188	2.30106e-05
10002	1	100	43	500	0.35495	0.335128	0.268511	0.0666171	0.0198214	0.702684	0.0381052	1.35536	0.0503767	2.26734e-05
10003	1	100	37	500	0.355299	0.340147	0.2822	0.0579469	0.0151522	0.698446	0.0353318	1.36565	0.049372	2.20882e-05
10004	1	100	28	500	0.36731	0.349751	0.291673	0.0580774	0.0175589	0.691428	0.0378344	1.37151	0.0491258	2.0654e-05
10005	1	100	30	500	0.375052	0.35539	0.306283	0.0491065	0.0196624	0.686973	0.0347032	1.37711	0.0440339	1.94323e-05
10006	1	100	32	500	0.366206	0.348296	0.292996	0.0553007	0.0179095	0.69191	0.0353109	1.37235	0.0451231	2.16003e-05
10007	1	100	29	500	0.375276	0.34888	0.290722	0.0581586	0.0263957	0.692958	0.0270726	1.369	0.0443773	2.1718e-05
10008	1	100	30	500	0.372074	0.345079	0.285821	0.0592582	0.0269943	0.695766	0.0318147	1.36366	0.0481017	2.20224e-05
10009	1	100	30	500	0.376825	0.34403	0.290492	0.0535377	0.0327955	0.694376	0.0361669	1.35346	0.0604672	2.17978e-05
10010	1	100	29	500	0.364312	0.33785	0.280869	0.0569807	0.026462	0.700695	0.0306203	1.35617	0.0459169	2.30325e-05
10011	1	100	30	500	0.355119	0.331817	0.272797	0.0590196	0.0233019	0.704265	0.0323927	1.35022	0.0428703	2.27958e-05
10012	1	100	25	500	0.368199	0.333554	0.268071	0.0654831	0.0346443	0.7055	0.0340681	1.34386	0.0518949	2.27312e-05
10013	1	100	23	500	0.386122	0.338228	0.267178	0.0710505	0.0478943	0.704728	0.0356732	1.33025	0.055874	2.30506e-05
10014	1	100	22	500	0.379533	0.331541	0.272055	0.0594862	0.0479917	0.705562	0.0412468	1.31726	0.0667665	2.34046e-05
10015	1	100	22	500	0.393347	0.340888	0.285044	0.0558437	0.0524588	0.69704	0.0426404	1.31892	0.078009	2.34601e-05
10016	1	100	22	500	0.384106	0.335741	0.271349	0.0643921	0.0483647	0.698282	0.0505949	1.31487	0.0865419	2.43323e-05
10017	1	100	21	500	0.378836	0.33245	0.265767	0.066683	0.0463856	0.705425	0.0361824	1.32464	0.0618187	2.57851e-05
10018	1	100	21	500	0.384848	0.333786	0.269545	0.0642413	0.0510614	0.705224	0.0320313	1.32582	0.0466618	2.51704e-05
10019	1	100	22	500	0.370504	0.328167	0.271743	0.0564241	0.0423362	0.705276	0.0394127	1.32529	0.0632608	2.35247e-05
10020	1	100	22	500	0.385947	0.329083	0.260532	0.0685512	0.0568637	0.709282	0.0289225	1.32226	0.0435845	2.48688e-05
10021	1	100	20	500	0.362247	0.327046	0.257533	0.0695128	0.0352013	0.71041	0.0295698	1.33484	0.044256	2.60557e-05
10022	1	100	21	500	0.360768	0.326948	0.259888	0.0670594	0.0338201	0.707776	0.0333467	1.33274	0.0513061	2.5824e-05
10023	1	100	20	500	0.368687	0.332916	0.269783	0.0631329	0.0357712	0.705725	0.0292965	1.34022	0.0435463	2.52388e-05
10024	1	100	23	500	0.367258	0.335034	0.275667	0.059367	0.0322242	0.701048	0.035984	1.33771	0.0615973	2.51826e-05
10025	1	100	19	500	0.367166	0.337543	0.296486	0.0410574	0.0296224	0.698177	0.0342544	1.33924	0.0621643	2.38554e-05
10026	1	100	20	500	0.359031	0.336011	0.296466	0.0395454	0.0230192	0.700138	0.0284514	1.35089	0.0447443	2.33027e-05
10027	1	100	21	500	0.367747	0.340772	0.302413	0.0383598	0.0269748	0.696001	0.0309555	1.35182	0.0554922	2.34035e-05
10028	1	100	24	500	0.37511	0.347503	0.306462	0.0410407	0.0276074	0.69162	0.030784	1.35976	0.0571385	2.35701e-05
10029	1	100	22	500	0.377563	0.349182	0.306197	0.0429853	0.0283814	0.687619	0.037996	1.35677	0.0729621	2.30505e-05
10030	1	100	22	500	0.393126	0.357571	0.314303	0.0432689	0.0355548	0.682461	0.0367871	1.35861	0.0655358	2.33424e-05
10031	1	100	22	500	0.392098	0.356831	0.305674	0.0511561	0.0352672	0.683631	0.0367619	1.35768	0.073256	2.45592e-05
